Name;Index;Count;TotalTrades;BasePrice;DailyVolume
[Dark Knight] Karlstein Ornamental Knot;754065;0;1;35,100,000;0
[Dark Knight] Karlstein Shoes;754063;0;14;33,100,000;0
[Dark Knight] Orwen's Travel Wear;12563;0;2749;2,520,000;1
[Dark Knight] Serendian Smith Garb;12562;0;255;1,680,000;0
[Dark Knight] Shroud Knight Armor;12597;0;14161;2,700,000;1
[Dark Knight] Terrmian Casual Wear;12567;0;257;2,240,000;1
[Donkey] Granverre Feather Champron;52521;0;1;11,700,000;0
[Donkey] Granverre Leather Barding;52621;0;1;6,700,000;0
[Donkey] Granverre Leather Saddle;52721;0;1;7,600,000;0
[Donkey] Krogdalo's Barding;52622;0;2;84,000,000;0
[Donkey] Krogdalo's Champron;52522;0;2;78,500,000;0
[Donkey] Krogdalo's Horseshoe;52922;0;2;87,000,000;0
[Donkey] Krogdalo's Saddle;52722;0;1;84,000,000;0
[Donkey] Krogdalo's Stirrups;52822;0;2;81,000,000;0
[Donkey] Leather Combat Saddle;52720;0;20957;705;3
[Donkey] Leather Combat Stirrups;52820;0;8395;291;1
[Donkey] Light Iron Horseshoe;52918;78;90687;498;11
[Donkey] Light Leather Barding;52618;0;5172;830;2
[Donkey] Light Leather Saddle;52718;0;7003;430;1
[Donkey] Light Leather Stirrups;52818;0;10800;270;2
[Donkey] Light Red Plumed Champron;52519;1;3527;149;1
[Donkey] Shabby Leather Barding;52619;0;5024;221;2
[Donkey] Shabby Leather Saddle;52719;0;3856;149;2
[Donkey] Shabby Leather Stirrups;52819;0;1811;74,5;1
[Donkey] Steel Combat Barding;52620;12;13641;1,010,000;5
[Donkey] Steel Combat Champron;52520;0;7568;605;1
[Donkey] Steel Combat Horseshoe;52920;54;16077;451;5
[Donkey] Weak Iron Horseshoe;52919;6;2388;90;1
[Donkey] White Plume Champron;52518;0;8938;505;7
[Drakania] Ahon Kirus's Armor;12914;0;78;5,600,000;1
[Drakania] Black Leopard Armor;12915;0;10;1,680,000;0
[Drakania] Calpheon Noble Dress;12906;1;657;550;4
[Drakania] Delphe Knight Armor;12911;0;42;5,050,000;1
[Drakania] Jarette's Armor;12913;0;9;4,120,000;1
[Drakania] Karlstein Armor;768080;0;2;271,000,000;0
[Drakania] Karlstein Hat;768079;0;0;56,000,000;0
[Drakania] Karlstein Shoes;768081;0;0;44,800,000;0
[Drakania] Orwen's Travel Wear;12912;0;20;1,880,000;1
[Drakania] Serendian Smith Garb;12908;0;4;880;0
[Drakania] Shroud Knight Armor;12916;0;7;1,940,000;1
[Drakania] Terrmian Casual Wear;12910;0;1;860;0
[Guardian] Ahon Kirus's Armor;12742;10;6286;5,600,000;1
[Guardian] Black Leopard Armor;12743;0;346;2,980,000;1
[Guardian] Calpheon Noble Dress;12734;54;1224;670;4
[Guardian] Delphe Knight Armor;12739;0;336;5,600,000;0
[Guardian] Garnier Troupe Garb;12735;0;48;1,400,000;0
[Guardian] Jarette's Armor;12741;0;199;5,600,000;1
[Guardian] Karlstein Armor;754091;0;8;179,000,000;0
[Guardian] Karlstein Battle Axe;754093;0;1;62,500,000;0
[Guardian] Karlstein Hat;754090;0;1;42,000,000;0
[Guardian] Karlstein Shield;754094;0;2;40,300,000;0
[Guardian] Karlstein Shoes;754092;0;4;34,700,000;0
[Guardian] Orwen's Travel Wear;12740;0;722;2,520,000;1
[Guardian] Serendian Smith Garb;12736;0;148;1,680,000;1
[Guardian] Shroud Knight Armor;12744;0;453;2,700,000;1
[Guardian] Terrmian Casual Wear;12738;0;49;2,240,000;1
[Hashashin] Calpheon Noble Suit;12757;67;528;565;3
[Hashashin] Delphe Knight Armor;12759;0;55;5,600,000;1
[Hashashin] Edan's Travel Wear;12760;0;227;1,080,000;1
[Hashashin] Garnier Troupe Garb;12758;0;52;1,400,000;0
[Hashashin] Jordine's Casual Wear;12761;0;52;1,400,000;0
[Hashashin] Karlstein Armor;754096;0;1;170,000,000;0
[Hashashin] Karlstein Shamshir;754097;0;2;50,500,000;0
[Hashashin] Serendian Formal Suit;12763;0;63;2,330,000;0
[Hashashin] Serendian Smith Garb;12775;0;20;1,550,000;0
[Hashashin] Serendian Soldier Armor;12762;0;9;555;0
[Hashashin] Shroud Knight Armor;12765;0;89;2,500,000;0
[Hashashin] Valencian Travel Wear;12764;0;41;2,240,000;0
[Heidelian Dye] Black;46366;0;548;20,900,000;0
[Heidelian Dye] True Aqua;46310;0;564;20,900,000;1
[Heidelian Dye] True Deep Pink;46358;0;192;20,900,000;0
[Heidelian Dye] True Indigo;46334;0;324;20,900,000;0
[Heidelian Dye] True Lime;46286;0;687;20,900,000;1
[Heidelian Dye] True Mint;46298;0;480;20,900,000;0
[Heidelian Dye] True Orange;46262;0;874;20,900,000;0
[Heidelian Dye] True Purple;46346;0;224;20,900,000;0
[Heidelian Dye] True Red;46250;0;1172;20,900,000;1
[Heidelian Dye] True Sky;46322;0;272;20,900,000;0
[Heidelian Dye] True Yellow;46274;0;741;20,900,000;1
[Hunting] Apprentice Matchlock;16158;97;558946;71;40
[Hunting] Artisan Matchlock;16161;124;417335;457;159
[Hunting] Beginner Matchlock;16157;29;792374;118;153
[Hunting] Master Matchlock;56220;55;7094;212,000,000;30
[Hunting] Professional Matchlock;16160;30;164498;207;43
[Hunting] Skilled Matchlock;16159;43;203068;140;39
[Hunting] Sniper Rifle;56133;12;61484;1,020,000;30
[Jukebox] Conch Shell;24001;0;7277;294;1
[Keplanian Dye] Black;46488;0;635;20,900,000;1
[Keplanian Dye] True Aqua;46432;0;681;20,900,000;1
[Keplanian Dye] True Deep Pink;46480;0;241;20,900,000;0
[Keplanian Dye] True Indigo;46456;0;349;20,900,000;0
[Keplanian Dye] True Lime;46408;0;679;20,900,000;1
[Keplanian Dye] True Mint;46420;0;577;20,900,000;1
[Keplanian Dye] True Orange;46384;0;1028;20,900,000;1
[Keplanian Dye] True Purple;46468;0;265;20,900,000;1
[Keplanian Dye] True Red;46372;0;1462;20,900,000;0
[Keplanian Dye] True Sky;46444;0;333;20,900,000;1
[Keplanian Dye] True Yellow;46396;0;830;20,900,000;0
[Kunoichi] Ahon Kirus's Armor;12579;0;5787;5,450,000;1
[Kunoichi] Black Leopard Armor;12634;0;259;2,980,000;0
[Kunoichi] Calpheon Noble Dress;14221;11;7635;715;2
[Kunoichi] Delphe Knight Armor;14879;0;176;5,600,000;1
[Kunoichi] Garnier Troupe Garb;14222;0;375;1,400,000;0
[Kunoichi] Jarette's Armor;14855;0;353;5,600,000;1
[Kunoichi] Karlstein Armor;754048;0;8;132,000,000;0
[Kunoichi] Karlstein Hat;754047;0;4;45,900,000;0
[Kunoichi] Karlstein Shoes;754049;0;5;34,700,000;0
[Kunoichi] Karlstein Shortsword;754050;0;1;67,000,000;0
[Kunoichi] Orwen's Travel Wear;14843;0;2201;2,520,000;1
[Kunoichi] Serendian Smith Garb;14294;0;259;1,680,000;0
[Kunoichi] Shroud Knight Armor;12595;0;2421;2,700,000;0
[Kunoichi] Terrmian Casual Wear;12511;0;75;2,240,000;0
[Lahn] Ahon Kirus's Armor;12725;0;4997;5,600,000;1
[Lahn] Black Leopard Armor;12726;0;437;2,980,000;1
[Lahn] Calpheon Noble Dress;12717;19;5585;865;2
[Lahn] Delphe Knight Armor;12722;0;111;5,600,000;1
[Lahn] Garnier Troupe Garb;12718;0;211;1,400,000;1
[Lahn] Jarette's Armor;12724;0;224;5,600,000;1
[Lahn] Karlstein Armor;754071;0;14;174,000,000;0
[Lahn] Karlstein Crescent Pendulum;754073;0;7;60,000,000;0
[Lahn] Karlstein Hat;754070;0;10;51,500,000;0
[Lahn] Karlstein Noble Sword;754074;0;2;44,500,000;0
[Lahn] Karlstein Shoes;754072;0;3;42,700,000;0
[Lahn] Orwen's Travel Wear;12723;0;1641;2,520,000;1
[Lahn] Serendian Smith Garb;12719;0;87;1,680,000;1
[Lahn] Shroud Knight Armor;12727;0;1892;2,700,000;1
[Lahn] Terrmian Casual Wear;12721;0;59;2,240,000;1
[Maehwa] Ahon Kirus's Armor;12580;0;6224;5,600,000;1
[Maehwa] Black Leopard Armor;12635;0;271;2,980,000;0
[Maehwa] Calpheon Noble Dress;14208;2;9450;750;2
[Maehwa] Delphe Knight Armor;14876;0;157;5,600,000;0
[Maehwa] Garnier Troupe Garb;14218;0;197;1,400,000;1
[Maehwa] Jarette's Armor;14852;0;261;5,600,000;1
[Maehwa] Karlstein Armor;754034;0;3;110,000,000;0
[Maehwa] Karlstein Blade;754036;0;3;62,500,000;0
[Maehwa] Karlstein Hat;754033;0;4;51,500,000;0
[Maehwa] Karlstein Horn Bow;754037;0;1;43,000,000;0
[Maehwa] Karlstein Shoes;754035;0;1;27,800,000;0
[Maehwa] Orwen's Travel Wear;14840;0;1940;2,520,000;1
[Maehwa] Serendian Smith Garb;14291;0;297;1,680,000;1
[Maehwa] Shroud Knight Armor;12596;0;2325;2,700,000;1
[Maehwa] Terrmian Casual Wear;12508;0;73;2,240,000;0
[Manor] Balacs Triangular Outdoor Tent;24536;0;130;8,050,000;3
[Manor] Jade Starlight Large Brazier;24529;0;16;10,400,000;1
[Manor] Jade Starlight Pagoda Brazier;24533;0;10;8,050,000;0
[Mediahn Dye] Black;46732;0;92;20,900,000;0
[Mediahn Dye] True Aqua;46676;0;247;20,900,000;0
[Mediahn Dye] True Deep Pink;46724;0;45;20,900,000;0
[Mediahn Dye] True Indigo;46700;0;121;20,900,000;0
[Mediahn Dye] True Lime;46652;0;139;20,900,000;0
[Mediahn Dye] True Mint;46664;0;108;20,900,000;0
[Mediahn Dye] True Orange;46628;0;180;20,900,000;1
[Mediahn Dye] True Purple;46712;0;57;20,900,000;0
[Mediahn Dye] True Red;46616;0;287;20,900,000;1
[Mediahn Dye] True Sky;46688;0;75;20,900,000;0
[Mediahn Dye] True Yellow;46640;0;152;20,900,000;1
[Mix] EXP-Reaper Elixir;766;55;2237064;58,5;439
[Mix] Manhunt-Rage Elixir;769;0;1321611;515;151
[Mix] Swiftness-Wind-Spell Elixir;768;0;419119;515;11
[Mix] Thorn-Defense Elixir;770;0;218489;515;9
[Mix] Time-Training Elixir;767;0;586337;482;23
[Musa] Calpheon Noble Suit;14206;0;7379;755;2
[Musa] Delphe Knight Armor;14874;0;191;4,560,000;0
[Musa] Edan's Travel Wear;14850;0;2137;1,120,000;1
[Musa] Garnier Troupe Garb;14216;0;172;1,400,000;0
[Musa] Jordine's Casual Wear;14838;0;268;1,400,000;1
[Musa] Karlstein Armor;754025;0;5;151,000,000;0
[Musa] Karlstein Blade;754026;0;2;67,000,000;0
[Musa] Karlstein Hat;754024;0;5;39,100,000;0
[Musa] Karlstein Horn Bow;754027;0;2;28,700,000;0
[Musa] Serendian Formal Suit;12530;0;137;2,330,000;0
[Musa] Serendian Smith Garb;12506;0;118;1,680,000;0
[Musa] Serendian Soldier Armor;14289;0;596;785;0
[Musa] Shroud Knight Armor;12600;0;2578;2,700,000;1
[Musa] Valencian Travel Wear;12621;0;305;2,240,000;0
[Mystic] Ahon Kirus's Armor;12675;0;7986;5,600,000;1
[Mystic] Black Leopard Armor;12676;0;614;2,980,000;1
[Mystic] Calpheon Noble Dress;12667;6;6624;865;2
[Mystic] Delphe Knight Armor;12672;0;115;5,600,000;1
[Mystic] Garnier Troupe Garb;12668;0;195;1,400,000;1
[Mystic] Jarette's Armor;12674;0;265;5,600,000;1
[Mystic] Karlstein Armor;754057;0;13;131,000,000;0
[Mystic] Karlstein Gauntlet;754059;0;6;45,400,000;0
[Mystic] Karlstein Hat;754056;0;21;48,000,000;0
[Mystic] Karlstein Shoes;754058;0;4;37,600,000;0
[Mystic] Karlstein Vambrace;754060;0;5;42,000,000;0
[Mystic] Orwen's Travel Wear;12673;0;1846;2,520,000;1
[Mystic] Serendian Smith Garb;12669;0;125;1,680,000;1
[Mystic] Shroud Knight Armor;12677;0;3916;2,700,000;1
[Mystic] Terrmian Casual Wear;12671;0;97;2,240,000;0
[Ninja] Calpheon Noble Suit;14223;11;6808;835;2
[Ninja] Delphe Knight Armor;14880;0;168;5,600,000;0
[Ninja] Edan's Travel Wear;14856;0;2019;1,120,000;1
[Ninja] Garnier Troupe Garb;14341;0;271;1,400,000;1
[Ninja] Jordine's Casual Wear;14844;0;338;1,400,000;0
[Ninja] Karlstein Armor;754053;0;7;151,000,000;0
[Ninja] Karlstein Hat;754052;0;1;37,500,000;0
[Ninja] Karlstein Kunai;754055;0;3;23,100,000;0
[Ninja] Karlstein Shortsword;754054;0;2;56,500,000;0
[Ninja] Serendian Formal Suit;12536;0;77;2,330,000;1
[Ninja] Serendian Smith Garb;12512;0;96;1,680,000;0
[Ninja] Serendian Soldier Armor;14295;0;387;785;1
[Ninja] Shroud Knight Armor;12602;0;3199;2,700,000;1
[Ninja] Valencian Travel Wear;12623;0;238;2,240,000;0
[Nova] Ahon Kirus's Armor;12786;0;1618;5,600,000;1
[Nova] Black Leopard Armor;12787;0;55;2,980,000;1
[Nova] Calpheon Noble Dress;12778;34;592;565;4
[Nova] Delphe Knight Armor;12783;0;66;5,600,000;1
[Nova] Garnier Troupe Garb;12779;0;57;1,300,000;1
[Nova] Jarette's Armor;12785;0;20;5,600,000;1
[Nova] Karlstein Armor;754086;0;3;122,000,000;0
[Nova] Karlstein Hat;754085;0;1;42,700,000;0
[Nova] Karlstein Morning Star;754088;0;4;66,000,000;0
[Nova] Karlstein Quoratum;754089;0;5;44,000,000;0
[Nova] Karlstein Shoes;754087;0;8;34,600,000;0
[Nova] Orwen's Travel Wear;12784;0;253;2,520,000;1
[Nova] Serendian Smith Garb;12780;0;22;1,680,000;0
[Nova] Shroud Knight Armor;12788;0;84;2,700,000;0
[Nova] Terrmian Casual Wear;12782;0;22;2,240,000;0
[Olvian Dye] Black;46122;0;478;20,900,000;0
[Olvian Dye] True Aqua;46066;0;497;20,900,000;0
[Olvian Dye] True Deep Pink;46114;0;146;20,900,000;0
[Olvian Dye] True Indigo;46090;0;251;20,900,000;1
[Olvian Dye] True Lime;46042;0;631;20,900,000;0
[Olvian Dye] True Mint;46054;0;432;20,900,000;0
[Olvian Dye] True Orange;46018;0;11524;20,900,000;0
[Olvian Dye] True Purple;46102;0;194;20,900,000;1
[Olvian Dye] True Red;46006;0;12004;20,900,000;0
[Olvian Dye] True Sky;46078;0;280;20,900,000;0
[Olvian Dye] True Yellow;46030;0;11364;20,900,000;0
[Party] Agile Seal Elixir;632;90;375152;61,5;90
[Party] Antidote Elixir;738;425;10248;6,55;11
[Party] Brutal Death Elixir;624;6695;976124;720;3,009
[Party] Defense Elixir;653;466;209205;57;392
[Party] Elixir of Advanced Concentration;638;0;381266;75,5;394
[Party] Elixir of Agile Spells;630;2308;145891;194;51
[Party] Elixir of Amity;601;0;36556;86;8
[Party] Elixir of Assassination;633;5230;81860;102;125
[Party] Elixir of Brawn;1190;0;0;15,6;0
[Party] Elixir of Brutal Carnage;656;5412;494713;590;1,242
[Party] Elixir of Brutal Perforation;618;0;643504;459;2,541
[Party] Elixir of Burn Removal;737;456;11698;6,95;2
[Party] Elixir of Carnage;655;114;185268;145;4
[Party] Elixir of Clear Mentality;648;0;53562;70;20
[Party] Elixir of Concentration;637;0;119634;46,6;112
[Party] Elixir of Death;623;770;34124;109;9
[Party] Elixir of Demihuman Hunt;615;39;294746;44,8;743
[Party] Elixir of Destruction;1182;0;2836;27,3;75
[Party] Elixir of Detection;635;0;75792;780;113
[Party] Elixir of Draining;613;336;133584;26,3;82
[Party] Elixir of Endless Frenzy;610;0;519513;770;518
[Party] Elixir of Endless Fury;642;0;708501;112;256
[Party] Elixir of Endless Persistence;1187;0;21;17,3;0
[Party] Elixir of Endurance;659;8;26922;63,5;2
[Party] Elixir of Energy;619;0;914;23,8;0
[Party] Elixir of Expert Training;756;2253;385245;225;179
[Party] Elixir of Flowing Time;752;3668;1683708;225;909
[Party] Elixir of Flowing Wind;626;0;514820;225;764
[Party] Elixir of Frenzy;609;0;154212;257;309
[Party] Elixir of Fury;641;1;249314;73,5;277
[Party] Elixir of Hemostasis;739;244;9525;4,72;17
[Party] Elixir of Human Hunt;607;914;856642;14,8;26
[Party] Elixir of Intrepid Swiftness;628;2173;560512;233;1,266
[Party] Elixir of Lethal Assassin;634;5765;1383217;555;3,685
[Party] Elixir of Lethal Destruction;1183;0;1268;60;22
[Party] Elixir of Life;645;179;83026;47,5;31
[Party] Elixir of Mentality;647;0;7199;17,7;3
[Party] Elixir of Overwhelming Endurance;660;0;117697;134;81
[Party] Elixir of Perfect Human Hunt;608;8484;614554;194;1,025
[Party] Elixir of Perforation;617;15;80399;58,5;19
[Party] Elixir of Persistence;1186;0;19;15,6;0
[Party] Elixir of Raw Brawn;1191;0;28;17,3;0
[Party] Elixir of Remarkable Will;640;0;1019496;128;2,534
[Party] Elixir of Resistance;643;868;19879;32,9;37
[Party] Elixir of Seal;631;376;72449;35,3;22
[Party] Elixir of Sharp Detection;636;0;174044;1,390,000;43
[Party] Elixir of Sharp Resistance;644;0;66121;136;285
[Party] Elixir of Sharp Thorn;604;0;10653;147;2
[Party] Elixir of Shock;764;144;920863;146;476
[Party] Elixir of Sky;657;0;14452;116;5
[Party] Elixir of Spells;629;0;22873;28,4;1
[Party] Elixir of Steel Defense;654;0;500158;168;220
[Party] Elixir of Strong Draining;614;12933;1782370;379;3,432
[Party] Elixir of Strong Life;646;0;624112;174;311
[Party] Elixir of Strong Shock;765;0;1394644;235;597
[Party] Elixir of Swiftness;627;1476;236972;57,5;220
[Party] Elixir of Thorn;603;0;17727;99;4
[Party] Elixir of Time;751;271;1036267;128;52
[Party] Elixir of Training;755;6412;201379;57;52
[Party] Elixir of Will;639;3703;110180;22,1;215
[Party] Elixir of Wind;625;1190;145133;127;413
[Party] Elixir of Wings;621;0;5001;44,9;1
[Party] EXP Elixir;651;1367;3497065;44;49
[Party] Fierce Demihuman Hunting Elixir;616;9709;1552009;188;696
[Party] Fisher's Elixir;663;42;68809;86,5;6
[Party] Glorious Golden Hand Elixir;612;7170;433217;347;53
[Party] Golden Hand Elixir;611;0;167942;23,8;31
[Party] Griffon's Elixir;744;0;132165;121;21
[Party] Grim Reaper's Elixir;649;1060;125201;98,5;69
[Party] Grim Soul Reaper's Elixir;650;6862;981039;575;3,32
[Party] Helix Elixir;784;0;25297;106;29
[Party] Improved Elixir of Amity;602;0;59478;225;19
[Party] Looney Elixir;779;0;31100;90,5;3
[Party] Merciless Sky Elixir;658;1200;157971;630;467
[Party] Reliable Looney Elixir;780;0;92617;150;15
[Party] Resurrection Elixir;605;1060;212704;30,7;372
[Party] Skilled Fisher's Elixir;736;52;339600;121;92
[Party] Skilled Worker's Elixir;662;0;226036;222;176
[Party] Soaring Wings Elixir;622;341;242119;125;151
[Party] Splendid EXP Elixir;652;1753;1993898;121;495
[Party] Splendid Helix Elixir;785;0;108438;224;37
[Party] Strong Griffon's Elixir;745;0;137663;276;53
[Party] Strong Resurrection Elixir;606;0;138859;53,5;85
[Party] Surging Energy Elixir;620;0;44989;93,5;14
[Party] Surging Weenie Elixir;776;2039;242903;214;95
[Party] Weenie Elixir;775;509;57507;71,5;5
[Party] Worker's Elixir;661;396;313301;43,6;92
[Ranger] Ahon Kirus's Armor;12575;0;5509;5,600,000;1
[Ranger] Black Leopard Armor;12630;0;227;2,980,000;0
[Ranger] Calpheon Noble Dress;14205;0;10151;740;1
[Ranger] Delphe Knight Armor;14873;0;253;5,600,000;1
[Ranger] Garnier Troupe Garb;14215;0;255;1,400,000;0
[Ranger] Jarette's Armor;14849;0;383;5,600,000;0
[Ranger] Karlstein Armor;754011;0;4;179,000,000;0
[Ranger] Karlstein Dagger;754014;0;1;36,400,000;0
[Ranger] Karlstein Hat;754010;0;4;47,300,000;0
[Ranger] Karlstein Longbow;754013;0;9;54,000,000;0
[Ranger] Karlstein Shoes;754012;0;2;21,200,000;0
[Ranger] Orwen's Travel Wear;14300;0;2605;2,520,000;1
[Ranger] Serendian Smith Garb;14288;0;512;1,680,000;0
[Ranger] Shroud Knight Armor;12591;0;2736;2,700,000;1
[Ranger] Terrmian Casual Wear;12505;0;98;2,240,000;1
[Sage] Calpheon Noble Suit;12848;71;403;575;3
[Sage] Delphe Knight Armor;12850;0;21;5,600,000;1
[Sage] Edan's Travel Wear;12851;0;130;1,090,000;1
[Sage] Garnier Troupe Garb;12849;0;65;1,150,000;0
[Sage] Jordine's Casual Wear;12852;0;26;1,400,000;0
[Sage] Karlstein Kyve;754101;0;3;67,000,000;0
[Sage] Serendian Formal Suit;12854;0;17;1,770,000;0
[Sage] Serendian Smith Garb;12866;0;14;1,010,000;0
[Sage] Serendian Soldier Armor;12853;0;7;485;0
[Sage] The Shroud Knight Armor;12856;0;101;2,700,000;0
[Sage] Valencian Travel Wear;12855;0;7;1,830,000;0
[Shai] Descendant of Sherekhan Outfit;719547;0;531;2,240,000;2
[Shai] Drieghanese Winter Clothes;719546;0;19;1,080,000;1
[Shai] Florin Cook's Clothes;719544;0;487;865;1
[Shai] Florin Herb Gatherer Clothes;719545;0;1262;865;1
[Shai] Kanna's Naga Disguise;719525;0;1243;865;3
[Sorceress] Ahon Kirus's Armor;12574;0;7044;5,600,000;1
[Sorceress] Black Leopard Armor;12629;0;453;2,980,000;0
[Sorceress] Calpheon Noble Dress;14203;10;13519;865;3
[Sorceress] Delphe Knight Armor;14871;0;254;5,600,000;0
[Sorceress] Garnier Troupe Garb;14213;0;405;1,400,000;0
[Sorceress] Jarette's Armor;14847;0;594;5,600,000;0
[Sorceress] Karlstein Amulet;754008;0;8;56,000,000;0
[Sorceress] Karlstein Armor;754006;0;9;118,000,000;0
[Sorceress] Karlstein Hat;754005;0;11;41,600,000;0
[Sorceress] Karlstein Shoes;754007;0;9;31,700,000;0
[Sorceress] Karlstein Talisman;754009;0;1;34,400,000;0
[Sorceress] Orwen's Travel Wear;14298;0;2843;2,520,000;1
[Sorceress] Serendian Smith Garb;14286;0;654;1,680,000;1
[Sorceress] Shroud Knight Armor;12590;0;5381;2,700,000;1
[Sorceress] Terrmian Casual Wear;12503;0;168;2,240,000;1
[Striker] Calpheon Noble Suit;12646;11;5249;865;1
[Striker] Delphe Knight Armor;12648;0;76;5,600,000;0
[Striker] Edan's Travel Wear;12649;0;1425;1,120,000;1
[Striker] Garnier Troupe Garb;12647;0;106;1,400,000;1
[Striker] Jordine's Casual Wear;12650;0;101;1,400,000;0
[Striker] Karlstein Armor;754067;0;3;136,000,000;0
[Striker] Karlstein Gauntlet;754068;0;0;56,000,000;0
[Striker] Karlstein Hat;754066;0;3;41,100,000;0
[Striker] Karlstein Vambrace;754069;0;1;32,000,000;0
[Striker] Serendian Formal Suit;12652;0;188;2,330,000;1
[Striker] Serendian Smith Garb;12664;0;75;1,680,000;0
[Striker] Serendian Soldier Armor;12651;0;63;785;1
[Striker] Shroud Knight Armor;12654;0;4059;2,680,000;0
[Striker] Valencian Travel Wear;12653;0;110;2,240,000;0
[Tamer] Ahon Kirus's Armor;12576;0;5309;5,600,000;1
[Tamer] Black Leopard Armor;12631;0;215;2,980,000;0
[Tamer] Calpheon Noble Dress;14204;0;9521;860;2
[Tamer] Delphe Knight Armor;14872;0;128;5,600,000;1
[Tamer] Garnier Troupe Garb;14214;0;326;1,400,000;0
[Tamer] Jarette's Armor;14848;0;248;5,600,000;0
